user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
realDonaldTrump,Donald J. Trump,1126811013175754752,2019-05-10 11:27:35,/realDonaldTrump/status/1126811013175754752,31990,3401,5664,V.P. Mike Pence will be interviewed on @foxandfriends at 7:30 A.M. Enjoy!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">V.P. Mike Pence will be interviewed on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15513604"" dir=""ltr"" href=""/foxandfriends""><s>@</s><b>foxandfriends</b></a> at 7:30 A.M. Enjoy!</p>"
realDonaldTrump,Donald J. Trump,1126810275255136256,2019-05-10 11:24:39,/realDonaldTrump/status/1126810275255136256,82057,7760,19813,"We have lost 500 Billion Dollars a year, for many years, on Crazy Trade with China. NO MORE!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We have lost 500 Billion Dollars a year, for many years, on Crazy Trade with China. NO MORE!</p>"
realDonaldTrump,Donald J. Trump,1126697884953370625,2019-05-10 03:58:03,/realDonaldTrump/status/1126697884953370625,64154,8800,16476,Republicans must stick together!https://twitter.com/realDonaldTrump/status/1126625647214964737 …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Republicans must stick together!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/realDonaldTrump/status/1126625647214964737"" dir=""ltr"" href=""https://t.co/APrvcjpqOp"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/realDonaldTrump/status/1126625647214964737""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/realDonaldTrum</span><span class=""invisible"">p/status/1126625647214964737</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
realDonaldTrump,Donald J. Trump,1126683358917025798,2019-05-10 03:00:20,/realDonaldTrump/status/1126683358917025798,109716,23635,27164,"James Comey is a disgrace to the FBI & will go down as the worst Director in its long and once proud history. He brought the FBI down, almost all Republicans & Democrats thought he should be FIRED, but the FBI will regain greatness because of the great men & women who work there!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">James Comey is a disgrace to the FBI &amp; will go down as the worst Director in its long and once proud history. He brought the FBI down, almost all Republicans &amp; Democrats thought he should be FIRED, but the FBI will regain greatness because of the great men &amp; women who work there!</p>"
TeamTrump,Official Team Trump,1126605260611624960,2019-05-09 21:50:00,/TeamTrump/status/1126605260611624960,42637,3761,10391,"President Trump is committed to protecting patients and their families from surprise medical bills.

Hospitals and insurance companies will be held accountable by @realDonaldTrumppic.twitter.com/E7EyCWkvtG","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">President Trump is committed to protecting patients and their families from surprise medical bills.

Hospitals and insurance companies will be held accountable by <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b>realDonaldTrump</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/E7EyCWkvtG"">pic.twitter.com/E7EyCWkvtG</a></p>"
WhiteHouse,The White House,1126630945505853441,2019-05-09 23:32:03,/WhiteHouse/status/1126630945505853441,27958,1809,5808,"President @realDonaldTrump hosted the 2018 World Series Champions, the Boston @RedSox, at the White House!pic.twitter.com/68fDd6Mu8U","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">President <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b>realDonaldTrump</b></a> hosted the 2018 World Series Champions, the Boston <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""40918816"" dir=""ltr"" href=""/RedSox""><s>@</s><b>RedSox</b></a>, at the White House!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/68fDd6Mu8U"">pic.twitter.com/68fDd6Mu8U</a></p>"
DonaldJTrumpJr,Donald Trump Jr.,1126638202977226756,2019-05-10 00:00:54,/DonaldJTrumpJr/status/1126638202977226756,52909,2221,11181,Awesome!!! https://twitter.com/realDonaldTrump/status/1126616468873936896 …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Awesome!!! <img alt=""👏"" aria-label=""Emoji: Clapping hands sign"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f44f.png"" title=""Clapping hands sign""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/realDonaldTrump/status/1126616468873936896"" dir=""ltr"" href=""https://t.co/SOWlOLzRxs"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/realDonaldTrump/status/1126616468873936896""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/realDonaldTrum</span><span class=""invisible"">p/status/1126616468873936896</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
GOPChairwoman,Ronna McDaniel,1126658362790297601,2019-05-10 01:21:00,/GOPChairwoman/status/1126658362790297601,45446,7133,12200,"Why do Democrats keeping fixating on the same Russia collusion lies?

Because they don’t want to admit that:
-our economy is booming
-wage growth is skyrocketing
-unemployment under @realDonaldTrump has reached historic lows

The facts don’t lie.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Why do Democrats keeping fixating on the same Russia collusion lies?

Because they don’t want to admit that:
-our economy is booming
-wage growth is skyrocketing
-unemployment under <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b>realDonaldTrump</b></a> has reached historic lows

The facts don’t lie.</p>"
seanhannity,Sean Hannity,1126659367594422272,2019-05-10 01:25:00,/seanhannity/status/1126659367594422272,24956,3157,6015,HANNITY IS ON LIVE with The Great One @MarkLevinShow! We’ll break down the Democrats’ disregard for the rule of law and Hillary Clinton’s brazenly hypocritical remarks about @realdonaldtrump. Don’t miss it!https://www.foxnews.com/politics/hillary-clinton-trump-republicans …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">HANNITY IS ON LIVE with The Great One <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""38495835"" dir=""ltr"" href=""/marklevinshow""><s>@</s><b>MarkLevinShow</b></a>! We’ll break down the Democrats’ disregard for the rule of law and Hillary Clinton’s brazenly hypocritical remarks about <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b>realdonaldtrump</b></a>. Don’t miss it!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.foxnews.com/politics/hillary-clinton-trump-republicans"" dir=""ltr"" href=""https://t.co/WD7ToexL5Y"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.foxnews.com/politics/hillary-clinton-trump-republicans""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">foxnews.com/politics/hilla</span><span class=""invisible"">ry-clinton-trump-republicans</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
HouseGOP,House Republicans,1126575640046657536,2019-05-09 19:52:18,/HouseGOP/status/1126575640046657536,16368,942,5559,"D's bill on the floor today has nothing to do w/ pre-existing conditions. 

But it will prevent states from reducing the price of health care. Look at how costs have decreased for states who have taken advantage of the current waivers #ForThePolitics https://republicans-energycommerce.house.gov/news/state-innovation-waivers-are-working-to-lower-premiums-for-consumers …pic.twitter.com/67MQq5L9wZ","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">D's bill on the floor today has nothing to do w/ pre-existing conditions. 

But it will prevent states from reducing the price of health care. Look at how costs have decreased for states who have taken advantage of the current waivers <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ForThePolitics?src=hash""><s>#</s><b>ForThePolitics</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://republicans-energycommerce.house.gov/news/state-innovation-waivers-are-working-to-lower-premiums-for-consumers"" dir=""ltr"" href=""https://t.co/6MTGkrIjnL"" rel=""nofollow noopener"" target=""_blank"" title=""https://republicans-energycommerce.house.gov/news/state-innovation-waivers-are-working-to-lower-premiums-for-consumers""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">republicans-energycommerce.house.gov/news/state-inn</span><span class=""invisible"">ovation-waivers-are-working-to-lower-premiums-for-consumers</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/67MQq5L9wZ"">pic.twitter.com/67MQq5L9wZ</a></p>"
